Model,Family,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,FPR,FNR
Compact Transformer KT proxy,Knowledge Tracing,21452,0.6480514637329853,0.6128612864037033,0.6144146130725614,0.644749361284945,0.6638889566410705,0.7600643164821549,0.2300026633735609,0.2295388649112848,0.6259364621860338,0.2182341155678923,0.0474920182053153,0.5192527640106748,0.2550246631819186
PFA-style logistic baseline,Psychometric,21452,0.6542979675554726,0.5472006371879841,0.5060586663884739,0.5781348548558183,0.6624443148405241,0.7558085201181124,0.1628286188428911,0.1125693167020515,0.6242040198148994,0.2166225952047007,0.0416049994659128,0.8548735544541873,0.0507251711698446
Fixed-parameter BKT proxy,Psychometric,21452,0.5850270371060974,0.601584042577049,0.5809964004681325,0.5919427206911984,0.6434455630368622,0.745430073093973,0.1963125990918196,0.1852887544187145,0.9737511135227408,0.2864728973593984,0.2423598087466854,0.3362561951963401,0.4605757196495619
SAKT-inspired attention proxy,Knowledge Tracing,21452,0.6468860712287898,0.5920273502006982,0.5930738985832573,0.632489711235042,0.63238509500529,0.7232975122676196,0.1999083773704448,0.1949288038766704,0.7300592182815372,0.248808152621743,0.1653109922165993,0.6139280721819799,0.2020172274166237
Time-aware SAKT proxy,Knowledge Tracing,21452,0.6474920753309714,0.5908486446792764,0.5915668718130979,0.6318234368044219,0.6315053286381399,0.7213753711925328,0.1988608867112146,0.1931813358549654,0.7304869801657143,0.2489307897691852,0.1655588475610479,0.6218070911170416,0.1964956195244055
Student-question embedding MLP,Collaborative Deep,21452,0.641245571508484,0.5407961801653666,0.5074683490165799,0.5758407147874869,0.6235592046366032,0.7356972442077737,0.1246792391714543,0.095553136678998,0.6352049217941022,0.2223864601628424,0.0123616966356231,0.8363197356716229,0.0820879039976441
Subject-time SAKT proxy,Knowledge Tracing,21452,0.6368170799925414,0.5465476574100783,0.5254260654868885,0.5866680800048624,0.6113199936600799,0.72115128557107,0.1261002469773201,0.1064029787869813,0.6489563874029756,0.2276288734760264,0.0548135566822288,0.7923497267759563,0.1145549584038872
Subject Historical Mean,Simple,21452,0.6328081297781093,0.5049712761780045,0.4100971423089336,0.5066429720941449,0.5770177922780232,0.6999434598566159,0.0353359224370455,0.0124218411460861,0.6489922546675639,0.2285865832326787,0.0218561942144358,0.9749650527385944,0.0150923949053964
AFM-style logistic baseline,Psychometric,21452,0.6340201379824725,0.5058748953673198,0.4104146218904177,0.5071281120841957,0.5760130734235522,0.700009714774304,0.0433791443782574,0.0146944567164243,0.6494264115959743,0.228773160441581,0.023257461117201,0.9752192146397256,0.0130309946256349
Exposure-SVD collaborative proxy,Psychometric,21452,0.6331810553794518,0.5,0.3876980162694448,0.4909660782200138,0.5559026509958256,0.6713628148031825,0.0,0.0,0.6603070950590489,0.2335067589800687,0.0567362035667059,1.0,0.0
Global Correctness Mean,Simple,21452,0.6331810553794518,0.5,0.3876980162694448,0.4909660782200138,0.5,0.6331810553794518,0.0,0.0,0.6579913271189783,0.2326061750333995,0.018530206296316,1.0,0.0
Question Historical Mean,Simple,21452,0.6331810553794518,0.5,0.3876980162694448,0.4909660782200138,0.5,0.6331810553794518,0.0,0.0,0.6579913290324234,0.2326061759020412,0.0185302297348365,1.0,0.0
Neural MF proxy,Collaborative Deep,21452,0.6331810553794518,0.5,0.3876980162694448,0.4909660782200138,0.5,0.6331810553794518,0.0,0.0,0.6931471805599453,0.25,0.1331810553794518,1.0,0.0
Majority Class,Simple,21452,0.6331810553794518,0.5,0.3876980162694448,0.4909660782200138,0.5,0.6331810553794518,0.0,0.0,2.5345289989903734,0.3660863067313071,0.3658189446205482,1.0,0.0
