slice,scenario,model,seed,N,students,questions,prediction_kind,weighting,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260714,26943,659,10994,temporal_outer,interaction,0.7409781534341289,0.8582937342082626,0.5383355813056986,0.5371755750552036,0.1802840067934004,0.008190686181364454,-0.004796763444819963,1.02218486275889,0.7294659095126451,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260715,26943,659,10994,temporal_outer,interaction,0.7411798840762813,0.8586900489136957,0.5392975032738083,0.5369473904389075,0.1802267519047349,0.008228495624917996,-0.005919502365685008,1.0250548456095963,0.7293916787291392,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260716,26943,659,10994,temporal_outer,interaction,0.7413075300080684,0.858910317870194,0.5394095690901057,0.5368726247676945,0.18021266881872428,0.00810703001190308,-0.00395510677532699,1.0235530282411638,0.7285380247188212,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260717,26943,659,10994,temporal_outer,interaction,0.7412993620675424,0.8586569521373572,0.5396999231439402,0.5368403087221795,0.18017105629172414,0.00840438936700881,-0.005361554035257017,1.0232350674943487,0.7292432171621275,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260718,26943,659,10994,temporal_outer,interaction,0.7411268313269704,0.8584372889291241,0.5399056636377197,0.536995157597137,0.18020846156141623,0.009021385910741699,-0.00444603684430091,1.0230689245283184,0.7296886018631629,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260719,26943,659,10994,temporal_outer,interaction,0.7410370228452899,0.8585245528357038,0.5397511014159394,0.537043424469186,0.18025063012130627,0.008665876302182797,-0.003849301627446634,1.022885316608548,0.7292432171621274,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260720,26943,659,10994,temporal_outer,interaction,0.7414059889929788,0.8585353769013626,0.5397502809172474,0.5368843750364931,0.18015968845066638,0.009632290919211093,-0.005593337931325738,1.0234621647745452,0.7285751401105742,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260721,26943,659,10994,temporal_outer,interaction,0.7410691602258785,0.8586054925013636,0.5393000399751076,0.5369738135815161,0.1802255440440284,0.008107133019990803,-0.005287599611725976,1.0238105473921202,0.7297257172549159,
unseen_student_known_question,global_calendar_learner_feedback,HGB80,20260722,26943,659,10994,temporal_outer,interaction,0.7411134426409527,0.8587706742412217,0.5396787345089984,0.5368954632987512,0.18022354743864166,0.008390125944920992,-0.006085354994718743,1.0234404914741062,0.7291689863786215,
unseen_question,learner_feedback,AdaptiveMath-AI,20260713,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260714,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260715,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260716,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260717,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260718,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260719,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260720,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260721,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,AdaptiveMath-AI,20260722,7071,677,2600,frozen_object,interaction,0.6902931895736548,0.8575453586804276,0.42461946913514154,0.5327982753084218,0.17807784037719154,0.019739812363858796,0.15468819438118325,0.8896451263955085,0.7362466412105829,
unseen_question,learner_feedback,HGB100,20260713,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260714,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260715,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260716,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260717,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260718,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260719,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260720,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260721,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB100,20260722,7071,677,2600,frozen_object,interaction,0.689059120996588,0.8557489349215357,0.4228868020235742,0.5342709412474926,0.1785436027623352,0.020754174441309534,0.18131613784344902,0.8827689519816414,0.7376608683354592,
unseen_question,learner_feedback,HGB80,20260713,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260714,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260715,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260716,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260717,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260718,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260719,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260720,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260721,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,learner_feedback,HGB80,20260722,7071,677,2600,frozen_object,interaction,0.6893770299716321,0.8561620220909552,0.42457568525221007,0.5339314236936799,0.17842953372551407,0.022250820447417777,0.18149466357718178,0.8903776265465537,0.7375194456229716,
unseen_question,no_feedback,AdaptiveMath-AI,20260713,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260714,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260715,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260716,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260717,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260718,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260719,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260720,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260721,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,AdaptiveMath-AI,20260722,7071,677,2600,frozen_object,interaction,0.5938836183858901,0.8027751478200111,0.33040701138102263,0.5691139983215221,0.19168828114350694,0.027083865953059304,0.3254788516668281,0.6560319122488044,0.7270541648988872,
unseen_question,no_feedback,HGB100,20260713,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260714,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260715,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260716,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260717,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260718,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260719,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260720,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260721,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB100,20260722,7071,677,2600,frozen_object,interaction,0.5921175944579207,0.8000793932887705,0.32909800176566834,0.5694023826125092,0.191773098188031,0.015950726304378403,0.37132000156078,0.6578695761175797,0.7274784330363501,
unseen_question,no_feedback,HGB80,20260713,7071,677,2600,frozen_object,interaction,0.5935417608847595,0.8010729185615659,0.32867540370828663,0.5695618332775758,0.19186644905857514,0.021617191570015532,0.3757215901018038,0.6566734794459611,0.7259227831989862,
unseen_question,no_feedback,HGB80,20260714,7071,677,2600,frozen_object,interaction,0.5935417608847595,0.8010729185615659,0.32867540370828663,0.5695618332775758,0.19186644905857514,0.021617191570015532,0.3757215901018038,0.6566734794459611,0.7259227831989862,
unseen_question,no_feedback,HGB80,20260715,7071,677,2600,frozen_object,interaction,0.5935417608847595,0.8010729185615659,0.32867540370828663,0.5695618332775758,0.19186644905857514,0.021617191570015532,0.3757215901018038,0.6566734794459611,0.7259227831989862,
unseen_question,no_feedback,HGB80,20260716,7071,677,2600,frozen_object,interaction,0.5935417608847595,0.8010729185615659,0.32867540370828663,0.5695618332775758,0.19186644905857514,0.021617191570015532,0.3757215901018038,0.6566734794459611,0.7259227831989862,
unseen_question,no_feedback,HGB80,20260717,7071,677,2600,frozen_object,interaction,0.5935417608847595,0.8010729185615659,0.32867540370828663,0.5695618332775758,0.19186644905857514,0.021617191570015532,0.3757215901018038,0.6566734794459611,0.7259227831989862,
unseen_question,no_feedback,HGB80,20260718,7071,677,2600,frozen_object,interaction,0.5935417608847595,0.8010729185615659,0.32867540370828663,0.5695618332775758,0.19186644905857514,0.021617191570015532,0.3757215901018038,0.6566734794459611,0.7259227831989862,
