Model,Split,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,Precision,Recall,Specificity,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,MCE,FPR,FNR,Calibration_Slope,Calibration_Intercept,Confusion_Matrix,History_Cap,Family
SAKT-inspired attention proxy,stress_short_history,271,0.6273062730627307,0.5416718113347326,0.540114589108994,0.6088334586657526,0.6956521739130435,0.7912087912087912,0.2921348314606741,0.5723546116804545,0.7438463835789294,0.0921569114706375,0.0897875029097802,0.6491449858579066,0.2284514027859344,0.095751528150481,0.4867189645767212,0.7078651685393258,0.2087912087912088,0.3641397028339472,0.4930197213365161,"[[26,63],[38,144]]",10,Knowledge Tracing
Subject-time SAKT proxy,stress_short_history,271,0.6494464944649446,0.5208359056673664,0.49461141320351,0.5906091635855995,0.6820083682008368,0.8956043956043956,0.146067415730337,0.5429065316705767,0.6910082327658387,0.0606455774840725,0.0498246909023804,0.6552470833432724,0.2281560582512537,0.1068538545022591,0.4719942261775335,0.8539325842696629,0.1043956043956044,0.2515351358021633,0.5039087058602932,"[[13,76],[19,163]]",10,Knowledge Tracing
AFM-style logistic baseline,stress_short_history,271,0.6605166051660517,0.4946289665390789,0.407959726443769,0.5406591033995446,0.6691729323308271,0.978021978021978,0.0112359550561797,0.5208359056673663,0.705963508083045,-0.0374880396405391,-0.0141555483241133,0.6359921446094217,0.2222627038334785,0.0391436263488635,0.5549552732456879,0.9887640449438202,0.0219780219780219,0.3737683911813903,0.4788883112583101,"[[1,88],[4,178]]",10,Psychometric
Subject Historical Mean,stress_short_history,271,0.6642066420664207,0.4973762192863316,0.4094163852767201,0.5425371374196535,0.6704119850187266,0.9835164835164836,0.0112359550561797,0.5167304605506854,0.7012336219945025,-0.020436315653611,-0.0069413253848353,0.6366640570153085,0.2225538428905623,0.0417457970745888,0.5454207360744476,0.9887640449438202,0.0164835164835164,0.3370680306474423,0.5020273620965172,"[[1,88],[3,179]]",10,Simple
Student-question embedding MLP,stress_short_history,271,0.6752767527675276,0.528583775774787,0.4839882291846979,0.5918053970222928,0.6850393700787402,0.956043956043956,0.1011235955056179,0.5061736016792197,0.6901016717465117,0.1107232870839037,0.0720622568093384,0.6508323553197174,0.2292029813842911,0.0924834110860015,0.2406347393989563,0.898876404494382,0.0439560439560439,0.3660395243700624,0.5886978687204469,"[[9,80],[8,174]]",10,Collaborative Deep
Majority Class,stress_short_history,271,0.6715867158671587,0.5,0.401766004415011,0.5396414229042953,0.6715867158671587,1.0,0.0,0.5,0.6715867158671587,0.0,0.0,2.26927051988975,0.3277574575645756,0.3274132841328413,0.3274132841328413,1.0,0.0,0.1014492001360456,0.0146884033811131,"[[0,89],[0,182]]",10,Simple
Global Correctness Mean,stress_short_history,271,0.6715867158671587,0.5,0.401766004415011,0.5396414229042953,0.6715867158671587,1.0,0.0,0.5,0.6715867158671587,0.0,0.0,0.6339275012580572,0.220953032617237,0.0198754541913905,0.0198754541913905,1.0,0.0,0.3218862887123582,0.5137277864216248,"[[0,89],[0,182]]",10,Simple
Exposure-SVD collaborative proxy,stress_short_history,271,0.6715867158671587,0.5,0.401766004415011,0.5396414229042953,0.6715867158671587,1.0,0.0,0.5,0.6715867158671587,0.0,0.0,0.6369808791566811,0.2222121112240638,0.040670779266457,0.040670779266457,1.0,0.0,0.3560308130855084,0.3928080698365481,"[[0,89],[0,182]]",10,Psychometric
Neural MF proxy,stress_short_history,271,0.6715867158671587,0.5,0.401766004415011,0.5396414229042953,0.6715867158671587,1.0,0.0,0.5,0.6715867158671587,0.0,0.0,0.6931471805599453,0.25,0.1715867158671586,0.1715867158671586,1.0,0.0,0.0,0.7153775706159183,"[[0,89],[0,182]]",10,Collaborative Deep
MLPClassifier,stress_short_history,271,0.7490774907749077,0.675291589932474,0.6865986394557824,0.7335868664809096,0.7677725118483413,0.8950276243093923,0.4555555555555555,0.7977286678944139,0.8931848761225419,0.3976809294641324,0.382646566164154,0.5020367974228118,0.1680385373325134,0.0816182339862704,0.2489864782837889,0.5444444444444444,0.1049723756906077,1.2898557863892186,-0.1474261727580129,"[[41,49],[19,162]]",20,Classical ML
Subject-graph embedding proxy,stress_short_history,271,0.7269372693726938,0.6251995089011664,0.6294530672579453,0.6932736600093273,0.7336244541484717,0.9281767955801103,0.3222222222222222,0.7864333947206876,0.8900126030707791,0.3258747993683334,0.2891677300439529,0.5200569701666048,0.1766480496173818,0.0758562294759433,0.301519062783983,0.6777777777777778,0.0718232044198895,1.2777576282575562,-0.3989301733358216,"[[29,61],[13,168]]",20,Knowledge Tracing
Random Forest,stress_short_history,271,0.7306273062730627,0.7201350521792511,0.7089237107334658,0.7356132674105378,0.8292682926829268,0.7513812154696132,0.6888888888888889,0.7856353591160221,0.8886759070206673,0.4241953718486184,0.4203123626454127,0.5447208321402146,0.1836821063641585,0.109598869351405,0.2067242165754744,0.3111111111111111,0.2486187845303867,1.358883862164806,0.5143675734464764,"[[62,28],[45,136]]",20,Classical ML
HistGradientBoosting,stress_short_history,271,0.7306273062730627,0.6558931860036832,0.6649277620636507,0.7147499164224549,0.7571428571428571,0.8784530386740331,0.4333333333333333,0.7852670349907919,0.8867088087481596,0.3515953363132202,0.3392672255435691,0.5129290547371229,0.172867581170383,0.046379862542346,0.1507814441851628,0.5666666666666667,0.1215469613259668,1.1483197414434478,-0.0638930755113118,"[[39,51],[22,159]]",20,Classical ML
