model,seed,fold,route,N,route_fraction,support_median,support_min,support_max,clipped_fraction,mean_abs_correction,shrinkage_lambda
Ablation_no_question,20260714,3,zero,13,0.0005817075353499194,0.0,0,0,0.0,0.0,0.0
Ablation_no_subject,20260714,3,parent,6131,0.2743422230177197,1246.0,6,8224,0.0,0.04502518900968742,200.0
Ablation_no_subject,20260714,3,question,16204,0.7250760694469304,4.0,1,37,0.018884226117008147,0.1393081605604032,5.0
Ablation_no_subject,20260714,3,zero,13,0.0005817075353499194,0.0,0,0,0.0,0.0,0.0
AdaptiveMath-AI,20260714,4,parent,41,0.0008039688609133871,2002.0,327,4826,0.0,0.033051489834902234,200.0
AdaptiveMath-AI,20260714,4,question,38036,0.7458477949683314,4.0,1,39,0.018193290566831423,0.13837549814276137,5.0
AdaptiveMath-AI,20260714,4,subject,12918,0.25330901817753987,323.0,1,1766,0.0,0.030492058084080106,200.0
AdaptiveMath-AI,20260714,4,zero,2,3.9217993215287176e-05,0.0,0,0,0.0,0.0,0.0
Plus_question_memory,20260714,4,question,38036,0.7458477949683314,4.0,1,39,0.018193290566831423,0.13837549814276137,5.0
Plus_question_memory,20260714,4,zero,12961,0.2541522050316685,0.0,0,0,0.0,0.0,0.0
Plus_hierarchy,20260714,4,parent,41,0.0008039688609133871,2002.0,327,4826,0.0,0.033051489834902234,200.0
Plus_hierarchy,20260714,4,question,38036,0.7458477949683314,4.0,1,39,0.018193290566831423,0.13837549814276137,5.0
Plus_hierarchy,20260714,4,subject,12918,0.25330901817753987,323.0,1,1766,0.0,0.030492058084080106,200.0
Plus_hierarchy,20260714,4,zero,2,3.9217993215287176e-05,0.0,0,0,0.0,0.0,0.0
No_calibration,20260714,4,parent,41,0.0008039688609133871,2002.0,327,4826,0.0,0.033051489834902234,200.0
No_calibration,20260714,4,question,38036,0.7458477949683314,4.0,1,39,0.018193290566831423,0.13837549814276137,5.0
No_calibration,20260714,4,subject,12918,0.25330901817753987,323.0,1,1766,0.0,0.030492058084080106,200.0
No_calibration,20260714,4,zero,2,3.9217993215287176e-05,0.0,0,0,0.0,0.0,0.0
Ablation_no_question,20260714,4,parent,41,0.0008039688609133871,2002.0,327,4826,0.0,0.033051489834902234,200.0
Ablation_no_question,20260714,4,subject,50954,0.9991568131458713,414.0,1,1766,0.0,0.0355004519859006,200.0
Ablation_no_question,20260714,4,zero,2,3.9217993215287176e-05,0.0,0,0,0.0,0.0,0.0
Ablation_no_subject,20260714,4,parent,12959,0.25411298703845325,1500.0,4,8388,0.0,0.03872777948919912,200.0
Ablation_no_subject,20260714,4,question,38036,0.7458477949683314,4.0,1,39,0.018193290566831423,0.13837549814276137,5.0
Ablation_no_subject,20260714,4,zero,2,3.9217993215287176e-05,0.0,0,0,0.0,0.0,0.0
AdaptiveMath-AI,20260715,0,parent,29,0.0010669217468084323,451.0,1,3209,0.2413793103448276,0.07204176131066067,100.0
AdaptiveMath-AI,20260715,0,question,18380,0.6762076450461719,3.0,1,28,0.005168661588683352,0.11594102520744992,5.0
AdaptiveMath-AI,20260715,0,subject,8750,0.3219160442956477,280.0,1,1122,0.08857142857142856,0.06854560672214331,100.0
AdaptiveMath-AI,20260715,0,zero,22,0.0008093889113719142,0.0,0,0,0.0,0.0,0.0
Plus_question_memory,20260715,0,question,18380,0.6762076450461719,3.0,1,28,0.005168661588683352,0.11594102520744992,5.0
Plus_question_memory,20260715,0,zero,8801,0.323792354953828,0.0,0,0,0.0,0.0,0.0
