model,group_field,group,N,students,questions,prevalence,status,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
AdaptiveMath-AI,known_outer_fit_question,True,138238,1661,19099,0.6439473950722666,estimable,0.7651001270124607,0.8536039521318068,0.6144626398304973,0.5451952824091718,0.1846580280138342,0.007635931766245206,-0.023721226388807658,1.031743976046585,0.718471042694524,
HGB100,known_outer_fit_question,True,138238,1661,19099,0.6439473950722666,estimable,0.7607988485882822,0.8507941681521969,0.6090155578429131,0.5484861819272978,0.18607905138224848,0.006103136749286552,-0.016419193826699017,1.0106094951808604,0.716279170705634,
AdaptiveMath-AI,known_outer_fit_student,False,28697,673,11890,0.6962748719378332,estimable,0.7457524787371979,0.8634073690932831,0.5413338741420829,0.5318886730371286,0.1781897689460661,0.009854793230180958,-0.004854514611167737,1.0398910917063966,0.7332125309265876,
HGB100,known_outer_fit_student,False,28697,673,11890,0.6962748719378332,estimable,0.7390251923355384,0.8588928840595336,0.5344089440556863,0.5362762032365063,0.17989132460220042,0.008247761481797847,0.023890425644057023,1.0066924621388684,0.7309823326480216,
AdaptiveMath-AI,known_outer_fit_student,True,114868,1397,19302,0.6352944249051085,estimable,0.7663944429392863,0.8511015300108974,0.623271082081056,0.5474822095590429,0.18577942370543227,0.006423814904919042,-0.022541953357254795,1.02623069787956,0.7160653968033713,
HGB100,known_outer_fit_student,True,114868,1397,19302,0.6352944249051085,estimable,0.7626405187774261,0.8488238639603086,0.618039473441752,0.5503697872450772,0.1870711865881644,0.005700835288067631,-0.018854491677620617,1.0074172284855407,0.713941219486799,
AdaptiveMath-AI,first_response,False,142600,1663,21208,0.6470617110799439,estimable,0.7647585467165623,0.854683747861269,0.611738064013852,0.5440562613619113,0.18415055853339096,0.006611034598243069,-0.01833570984166689,1.0305266453735122,0.7195441795232558,
HGB100,first_response,False,142600,1663,21208,0.6470617110799439,estimable,0.7606090819791733,0.8520195915565837,0.6063731987224718,0.5472244980796495,0.1855179420806055,0.005086175945635302,-0.011316207364631587,1.0098839089156078,0.7174123422161012,
AdaptiveMath-AI,first_response,True,965,660,736,0.7098445595854922,estimable,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089569,0.2007803054708525,0.02694902453265066,-0.2550417827079332,1.1341606631472354,0.7119170984455969,
HGB100,first_response,True,965,660,736,0.7098445595854922,estimable,0.5688712200208493,0.7328604527273698,0.3703169672345178,0.5960430045467398,0.20308379525833836,0.022064512021815714,0.031383128732415395,0.9010729148174588,0.7077720207253897,
AdaptiveMath-AI,first_5,False,139853,1663,21104,0.6460855326664426,estimable,0.7654679104049471,0.8548812930926719,0.6131159066880344,0.5438881121868129,0.18411693212343072,0.006629113286973805,-0.019116526855471723,1.0296457851981062,0.7194411274693878,
HGB100,first_5,False,139853,1663,21104,0.6460855326664426,estimable,0.761432743743985,0.8522986980677038,0.6078914968432237,0.5469799315400685,0.18545386575290246,0.005049363085171572,-0.011407346215711808,1.009664112669571,0.7173603712467835,
AdaptiveMath-AI,first_5,True,3712,671,2533,0.7001616379310345,estimable,0.6886496879890786,0.8269803960945077,0.48673538072098244,0.5623414720130152,0.1897406609328361,0.012382077141755904,-0.023022893677899836,1.0459154120953396,0.7214439655172445,
HGB100,first_5,True,3712,671,2533,0.7001616379310345,estimable,0.6742711879992767,0.8165112379772712,0.4673468048902343,0.569129999965639,0.19249863038200304,0.011990526342951769,-0.018758283816959327,1.007376791243135,0.7168642241379342,
