model,scenario,prediction_kind,weighting,N,students,questions,prevalence,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
HGB100,learner_feedback,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7375217522508045,0.8413694465732082,0.5700157713002045,0.5579889132520907,0.18945840159502234,0.004929142122708696,0.001372724991096819,0.9831862387829086,0.7114054020281597,
HGB80,learner_feedback,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.7600481720243191,0.8517744704374832,0.6066409301859826,0.5475430028922016,0.1856097920697043,0.0062411342958609214,-0.031136674225199713,1.0231835930958726,0.7176818862534126,
HGB80,learner_feedback,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.7373770930446002,0.8413169648436247,0.5700968571032433,0.5580504684173467,0.18948972949616855,0.005144693002703579,-0.0006635370743150934,0.988257242094935,0.7116085380945051,
AdaptiveMath-AI,no_feedback,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.6761792292896054,0.7877099072916782,0.5227150354060923,0.6067162696767217,0.2095853425080811,0.03876488384888841,-0.04627367536862017,0.8293938852148534,0.6747535959319971,
AdaptiveMath-AI,no_feedback,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.6600397054105024,0.7830303183627876,0.4961323112853845,0.6061019325262389,0.20882088328827708,0.03574659290529073,0.04927619594161748,0.7800428288612736,0.6791046819331372,
HGB100,no_feedback,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.6700378812253085,0.7830507903624682,0.5169773246804797,0.6091377653546508,0.2105651292347347,0.03754168971628808,-0.0299832810828348,0.8189280109954394,0.6737923588616814,
HGB100,no_feedback,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.6548236152349773,0.7792376052584262,0.49018063157263503,0.6081277220902324,0.20964079257362941,0.03565300583905196,0.06580041334728938,0.7703963260845493,0.6782875642212972,
HGB80,no_feedback,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.6700715057378696,0.7829431312255747,0.517556520583037,0.6088178406090594,0.21045450973722413,0.03606752808134646,-0.030388263180934592,0.8247901206388691,0.6734510500468592,
HGB80,no_feedback,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.654893229949714,0.7792178999581134,0.4905375368562863,0.6078418782481354,0.20954817919043783,0.034561034453402896,0.06506161642949103,0.7758389637142272,0.6778797492285388,
AdaptiveMath-AI,outcome_free,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.6755194786799825,0.7869293845732497,0.5227862352441848,0.6054347934787445,0.20905325959504473,0.032913810053987164,-0.02245817793608076,0.8363906734104417,0.6751227666908864,
AdaptiveMath-AI,outcome_free,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.6599266954550946,0.7824728929220737,0.4968969521423132,0.6049259702609977,0.20832555928370577,0.030381401563543676,0.06867139078346386,0.7891029450109708,0.6796567834573618,
HGB100,outcome_free,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.6686714173709136,0.7817804404429652,0.5168236663172977,0.6080683173013393,0.21007383412984082,0.03133739559274649,0.007088473151558626,0.8169641916844019,0.6736530491413459,
HGB100,outcome_free,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.6545263724157022,0.7786513222387027,0.4910380253999772,0.6071822897567098,0.20922004126334365,0.029611055254004124,0.09938900190492471,0.7709655783035795,0.6780923571987547,
HGB80,outcome_free,mean_frozen_object_probabilities,interaction,143565,1663,21242,0.6474837181764358,0.6681134133095817,0.7813580625585768,0.5168765671539537,0.6080165202063021,0.21008412847678126,0.030288725646754666,0.005620061149274562,0.8228666794806044,0.6733256712985571,
HGB80,outcome_free,mean_frozen_object_probabilities,equal_student,143565,1663,21242,0.6474837181764358,0.6540404063976645,0.7783109008671667,0.4909819518582832,0.6071049492287179,0.20921728878487447,0.02889018767522053,0.09742483021532446,0.7769050162092194,0.6779616188366946,
