Dimension,Subgroup,N,Students,Correct_Rate,Error_Rate,Error_Rate_Cluster_CI_Lower,Error_Rate_Cluster_CI_Upper,ROC_AUC,ROC_AUC_Cluster_CI_Lower,ROC_AUC_Cluster_CI_Upper,Log_Loss,Brier_Score,Cluster_Unit,Bootstrap_Replicates,Publication_Eligible,Eligibility_Rule
Subject,Gradient as change in y over change in x,131,72,0.6106870229007634,0.3053435114503817,0.2080446566855963,0.39495551125589534,0.7914215686274509,0.713823802130076,0.8661316028079752,0.5415901319597475,0.1842393624175677,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Graphical Solution of Quadratic Equations,129,98,0.5426356589147286,0.37209302325581395,0.29031642452597883,0.4603329613095238,0.6576271186440679,0.5549085014897074,0.7485305063353185,0.6544968397490228,0.23351817132077932,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Graphical Solution of Simultaneous Equations,196,152,0.5153061224489796,0.2755102040816326,0.20196813062281738,0.350522210827441,0.7937467430953622,0.7114734375593056,0.8646207413695529,0.5412211158410477,0.1833711945907018,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Graphing Linear Inequalities (Shading Regions),119,42,0.7142857142857143,0.24369747899159663,0.17928495054798183,0.3225890456989247,0.643598615916955,0.4987900451104824,0.7646407420221427,0.5708652899379202,0.1892435129748255,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Graphs of Exponentials and Other Powers of x,61,35,0.7049180327868853,0.18032786885245902,0.07692307692307693,0.3050847457627119,0.8927648578811369,0.7737754312251215,0.9644759063356064,0.44373911386558573,0.13933696486664937,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Graphs of Trigonometric Functions,51,36,0.7843137254901961,0.11764705882352941,0.035462454212454225,0.2,0.8704545454545455,0.7415272045028142,0.9777818627450982,0.3996079414862641,0.12090985897815612,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Histogram,146,64,0.6027397260273972,0.2876712328767123,0.21967329545454545,0.3740696564885496,0.7125783699059561,0.6132741827138379,0.8056559867622498,0.6018573331288268,0.2026674934244213,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Horizontal and Vertical Lines,126,87,0.5793650793650794,0.29365079365079366,0.20965936446798267,0.39669749442476715,0.7653140346342724,0.6606781302465997,0.8546583216038021,0.5712377281119975,0.19242093165634233,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Indirect (Inverse) Proportion,130,66,0.6615384615384615,0.3384615384615385,0.2396694214876033,0.432870188531029,0.7013742071881608,0.5931183862433862,0.7973096079950918,0.5824929841297405,0.20140709430817913,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Inequalities on Number Lines,301,113,0.6146179401993356,0.27906976744186046,0.22146591310490993,0.3377606449169507,0.7720410065237652,0.7094065061140428,0.8247357663122638,0.5495183774523421,0.1863862756550045,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Interpreting and Comparing Data using Averages and Range,68,63,0.38235294117647056,0.3088235294117647,0.21428571428571427,0.4264705882352941,0.7564102564102565,0.6267654854910715,0.8608948631957044,0.5748213189008923,0.19636876268919065,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Inverse Functions,62,44,0.5806451612903226,0.20967741935483872,0.10414870689655173,0.3275996767241379,0.8568376068376068,0.743122903412377,0.9449863485894924,0.4860973966516339,0.16016024641185447,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Laws of Indices,735,236,0.6149659863945578,0.32108843537414966,0.27862233065996717,0.36746447512903835,0.719980299571594,0.6715368011073513,0.7643703834052576,0.5991696997586049,0.2070146418365115,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Length Scale Factors in Similar Shapes,258,123,0.6046511627906976,0.3178294573643411,0.25724378881987575,0.37451444223107566,0.7620663650075415,0.6965992275692797,0.8176067471985181,0.5665903723620977,0.19296640075258484,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Length Units,559,239,0.6565295169946332,0.2522361359570662,0.20832782186948853,0.2958408413274565,0.7919646911898273,0.743406732033215,0.8377648083621881,0.5157650202200477,0.1719012376459525,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,"Length, Area and Volume Scale Factors",166,81,0.5843373493975904,0.3253012048192771,0.23342340158558147,0.4270449929698485,0.7558643358733005,0.646740716875259,0.8412836464832462,0.5727943581308733,0.19665593458172367,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Line Symmetry,131,45,0.7404580152671756,0.19083969465648856,0.11022421739965431,0.27827156094084105,0.8244390539721043,0.7159231383485889,0.9122761927788523,0.4448101725149488,0.14412488153501596,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Linear Equations,1996,568,0.6477955911823647,0.2650300601202405,0.23868574386233665,0.291245732821508,0.7864494119226078,0.756970123397348,0.8122644449273674,0.5253229190317851,0.17658410933533564,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Linear Sequences (nth term),705,294,0.5843971631205673,0.28794326241134754,0.254956118424707,0.3251149348923731,0.7570661718413467,0.7117384201266934,0.7977624143148431,0.5771333669383663,0.19550204359162768,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Loci Scenarios,254,106,0.5118110236220472,0.31496062992125984,0.25206611570247933,0.3782130883301096,0.7593052109181142,0.6793704634928713,0.826282744683584,0.5678583532572766,0.1960093510418424,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Measuring Angles,100,60,0.68,0.26,0.15625,0.35242559523809525,0.7821691176470588,0.6878248331413539,0.8708300227766301,0.5163021759281089,0.17388626858863618,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Mental Addition and Subtraction,862,258,0.7064965197215777,0.24245939675174014,0.20723083580333507,0.28041177970423253,0.7982696963206708,0.754009105690157,0.8328686492546818,0.4828453101785052,0.15999628421032414,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Mental Multiplication and Division,900,328,0.6655555555555556,0.23444444444444446,0.2055487194877951,0.26780066868948454,0.8016461544434523,0.7673875482597796,0.8325264369909832,0.5026666539103163,0.16577339813164776,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Midpoint Between Two Co-ordinates,125,80,0.664,0.304,0.208955223880597,0.39736867485372596,0.757601835915089,0.6611461881728654,0.8498999956754887,0.5439230258766996,0.18322800014216659,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Missing Lengths,136,98,0.6102941176470589,0.23529411764705882,0.16152097902097903,0.30985915492957744,0.7926801545805864,0.7036793145654835,0.8669177115734374,0.5372869397584553,0.17903478882283208,user_id,1000,False,N >= 200 interactions and >= 30 students
Subject,Multiples and Lowest Common Multiple,613,267,0.5628058727569332,0.25938009787928223,0.2202466528352016,0.30479822277168184,0.8125459658230586,0.7711191632872358,0.8463624752258996,0.5286945519233834,0.1756665338973454,user_id,1000,True,N >= 200 interactions and >= 30 students
Subject,Multiplying Fractions,585,231,0.6581196581196581,0.27350427350427353,0.23371736311788685,0.31670154400149475,0.7726363636363637,0.7232773673618842,0.8155825161326555,0.5326514106156935,0.17926677886310904,user_id,1000,True,N >= 200 interactions and >= 30 students
