Model,Family,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,FPR,FNR
PFA-style logistic baseline,Psychometric,22687,0.6767752457354432,0.5480308672272801,0.513837706006785,0.6034198572463647,0.667851202154645,0.7744825091757052,0.1676244689823071,0.1178116810423177,0.6085612395515069,0.2091577300323057,0.0383977268433958,0.8564593301435407,0.0474789354018991
Question Historical Mean,Simple,22687,0.6731167629038657,0.5363261724506383,0.4887884629828998,0.5864934217826718,0.6498356674334937,0.7710267272325965,0.146539041122601,0.0908022439504124,0.6115913849349208,0.2113147255796631,0.0256545318895435,0.8934436829173671,0.0339039721813561
Fixed-parameter BKT proxy,Psychometric,22687,0.5960241548023097,0.6081366148572247,0.5860128691866833,0.6065036553064221,0.6468597452896672,0.7629125443508205,0.205031160552315,0.1939142955414917,0.9930480888335532,0.2817100480507237,0.2465856877179252,0.3538083538083538,0.4299184164771967
DKT-inspired GRU proxy,Knowledge Tracing,22687,0.6554855203420461,0.5738750522508432,0.5732110946943751,0.632854065038902,0.6353182562997927,0.7566988212945787,0.1690389146108048,0.1615723835884062,0.626688967216708,0.2172983152343435,0.0501919031962893,0.6825294193715247,0.1697204761267888
Compact Transformer KT proxy,Knowledge Tracing,22687,0.6505046943183321,0.5550477518530424,0.5478005520981774,0.6163934683922707,0.6093597545858163,0.7344390501573941,0.1350839682019562,0.1239979733326097,0.6331776869627708,0.2204444713580008,0.0481237089047537,0.7448596922281133,0.1450448040658017
Static key-value attention proxy,Knowledge Tracing,22687,0.6496672102966456,0.5489798267685543,0.5383348898978685,0.6104945421373057,0.605150302645428,0.7304739998097759,0.1241751106610984,0.111621015531562,0.6435956183990307,0.2230984138509378,0.0574933347811661,0.7673606620975042,0.1346796843653872
Time-aware SAKT proxy,Knowledge Tracing,22687,0.6401463393132631,0.5406649057194941,0.5296800631321793,0.6022291290988555,0.5882899463177228,0.7135093383015023,0.1015696620469534,0.0921931272558648,0.646178728302797,0.2256301848257267,0.0583515996123682,0.7718867192551403,0.1467834693058713
SAKT-inspired attention proxy,Knowledge Tracing,22687,0.6397496363556222,0.5414255339288598,0.531170309416441,0.6029830333427854,0.5880582171030775,0.7134273270193313,0.1026890565407192,0.0936623292369439,0.6465934073145887,0.2258316976570862,0.0590907718769359,0.7674899780162938,0.1496589541259863
Subject-time SAKT proxy,Knowledge Tracing,22687,0.6390003085467448,0.5334262668631927,0.5177161448632189,0.5946953965076542,0.5763602890581766,0.7145024470592871,0.0869522353857124,0.0768207128792318,0.6446048146938406,0.2259898715449811,0.0565282114215634,0.7982671666882193,0.1348802995853952
Subject Historical Mean,Simple,22687,0.6577775818750826,0.5054264605344055,0.420945751312257,0.538814842806789,0.5601614423721517,0.7051790199764281,0.0370964553712989,0.0140499360779315,0.6370022453691029,0.2226661033017437,0.0090387880174239,0.9732316048105522,0.0159154741206366
AFM-style logistic baseline,Psychometric,22687,0.6568078635341825,0.5045035388580154,0.4198581821257355,0.5378672620243764,0.5592891695747471,0.7067512627127217,0.0304538102918805,0.0116556395973087,0.6371197183105372,0.2227311974288401,0.0110494411630911,0.9740075003232898,0.0169854219606794
Student-question embedding MLP,Collaborative Deep,22687,0.6503724599991184,0.5079269776164816,0.4440394092030322,0.5518413743139894,0.5459278578018151,0.6934373562882985,0.0344993908271343,0.0199688526243256,0.6500472511920207,0.2288286639280052,0.0706428690109991,0.9396094659252554,0.0445365788417814
Global Correctness Mean,Simple,22687,0.6591440031736236,0.5,0.3972795621795382,0.5237288819881707,0.5,0.6591440031736236,0.0,0.0,0.6417237288894122,0.2247284319000476,0.0074327414978557,1.0,0.0
Exposure-SVD collaborative proxy,Psychometric,22687,0.6591440031736236,0.5,0.3972795621795382,0.5237288819881707,0.5,0.6591440031736236,0.0,0.0,0.6482586241681346,0.2274942292820578,0.0531134919599923,1.0,0.0
Neural MF proxy,Collaborative Deep,22687,0.6591440031736236,0.5,0.3972795621795382,0.5237288819881707,0.5,0.6591440031736236,0.0,0.0,0.6931471805599453,0.25,0.1591440031736236,1.0,0.0
Majority Class,Simple,22687,0.6591440031736236,0.5,0.3972795621795382,0.5237288819881707,0.5,0.6591440031736236,0.0,0.0,2.3552092852451745,0.3401752848327236,0.3398559968263764,1.0,0.0
